br,km_trecho,uf,municipio,acidentes,mortos,feridos_graves,pessoas,letalidade,letalidade_ic_baixo,letalidade_ic_alto,tipo_pista,uso_solo
116,144,SP,SAO JOSE DOS CAMPOS,28,0,4,69,0.0,0.0,0.0527372581890517,Dupla,Não
116,412,MG,GOVERNADOR VALADARES,28,0,18,71,0.0,0.0,0.05132795219689032,Simples,Não
101,290,ES,CARIACICA,28,2,11,61,0.03278688524590164,0.009037890398362398,0.11189490419495612,Dupla,Sim
282,6,SC,SAO JOSE,28,0,6,47,0.0,0.0,0.07555760416399626,Dupla,Sim
101,48,PE,ABREU E LIMA,27,0,8,73,0.0,0.0,0.049992007955731096,Múltipla,Sim
230,20,PB,JOAO PESSOA,27,1,7,60,0.016666666666666666,0.0029481597947862564,0.08855129727590058,Dupla,Sim
40,119,RJ,DUQUE DE CAXIAS,27,2,7,49,0.04081632653061224,0.011265633366185801,0.13713032306080064,Dupla,Sim
101,45,PE,IGARASSU,27,3,6,76,0.039473684210526314,0.013514635094539595,0.10974787746545529,Múltipla,Sim
230,17,PB,JOAO PESSOA,27,0,6,64,0.0,0.0,0.05662405979280531,Dupla,Sim
116,277,MG,TEOFILO OTONI,27,0,13,62,0.0,0.0,0.058344072101372456,Múltipla,Sim
153,506,GO,APARECIDA DE GOIANIA,27,0,10,52,0.0,0.0,0.0687922361238623,Múltipla,Sim
381,480,MG,CONTAGEM,27,1,4,73,0.0136986301369863,0.0024222514664838588,0.07359737270963818,Múltipla,Sim
101,262,ES,SERRA,27,1,10,67,0.014925373134328358,0.002639571734078895,0.07981862319778105,Dupla,Sim
280,30,SC,ARAQUARI,27,0,10,61,0.0,0.0,0.0592438678981128,Simples,Não
70,2,MT,BARRA DO GARCAS,27,0,1,60,0.0,0.0,0.06017185214208984,Simples,Sim
40,528,MG,CONTAGEM,27,1,7,62,0.016129032258064516,0.00285286716862182,0.08586720260689991,Dupla,Sim
381,481,MG,CONTAGEM,27,4,6,66,0.06060606060606061,0.023818614832318355,0.14572908678564217,Múltipla,Sim
40,124,RJ,RIO DE JANEIRO,27,0,2,48,0.0,0.0,0.07410012966611745,Múltipla,Não
376,3,PR,APUCARANA,27,4,4,71,0.056338028169014086,0.022124519301696656,0.13609605799976943,Simples,Sim
116,279,SP,EMBU DAS ARTES,27,1,7,52,0.019230769230769232,0.0034028080709451597,0.10120511127892244,Múltipla,Sim
116,229,SP,SAO PAULO,27,1,6,65,0.015384615384615385,0.0027209446020234687,0.0821328472955147,Múltipla,Não
40,110,RJ,DUQUE DE CAXIAS,27,0,3,71,0.0,0.0,0.05132795219689032,Múltipla,Sim
101,71,PE,RECIFE,27,1,7,73,0.0136986301369863,0.0024222514664838588,0.07359737270963818,Dupla,Sim
101,192,SC,BIGUACU,27,0,4,55,0.0,0.0,0.06528490111708635,Dupla,Não
101,109,RN,PARNAMIRIM,26,0,6,54,0.0,0.0,0.06641358809089637,Múltipla,Sim
232,9,PE,JABOATAO DOS GUARARAPES,26,1,9,79,0.012658227848101266,0.0022379938550498926,0.06827571876965952,Dupla,Sim
116,176,RJ,SAO JOAO DE MERITI,26,1,4,59,0.01694915254237288,0.0029982339183556375,0.08995725964142295,Múltipla,Sim
116,180,RJ,NOVA IGUACU,26,0,5,54,0.0,0.0,0.06641358809089637,Múltipla,Sim
428,188,PE,PETROLINA,26,0,8,64,0.0,0.0,0.05662405979280531,Dupla,Sim
465,21,RJ,NOVA IGUACU,26,0,5,60,0.0,0.0,0.06017185214208984,Simples,Não
101,83,PB,BAYEUX,26,1,11,74,0.013513513513513514,0.002389463403456825,0.0726535651984323,Dupla,Sim
116,210,SP,GUARULHOS,26,0,2,63,0.0,0.0,0.05747119958885169,Dupla,Sim
381,478,MG,CONTAGEM,26,0,6,71,0.0,0.0,0.05132795219689032,Dupla,Sim
153,61,SP,SAO JOSE DO RIO PRETO,26,0,5,71,0.0,0.0,0.05132795219689032,Dupla,Sim
101,147,ES,LINHARES,26,0,8,62,0.0,0.0,0.058344072101372456,Dupla,Não
230,19,PB,JOAO PESSOA,26,2,10,66,0.030303030303030304,0.008349910198653769,0.10392521911709715,Dupla,Não
101,150,SC,ITAPEMA,26,2,11,55,0.03636363636363636,0.010029541289333553,0.12323463974651011,Dupla,Sim
280,128,SC,RIO NEGRINHO,26,0,2,64,0.0,0.0,0.05662405979280531,Simples,Sim
116,15,PR,CAMPINA GRANDE DO SUL,26,2,4,52,0.038461538461538464,0.010611711001315298,0.1298118915745576,Dupla,Não
116,119,PR,CURITIBA,26,1,2,59,0.01694915254237288,0.0029982339183556375,0.08995725964142295,Dupla,Sim
277,3,PR,PARANAGUA,26,0,6,64,0.0,0.0,0.05662405979280531,Simples,Sim
381,500,MG,BETIM,25,0,9,75,0.0,0.0,0.04872384248280584,Dupla,Não
116,187,RJ,NOVA IGUACU,25,1,0,64,0.015625,0.002763541923337505,0.08334101600094262,Múltipla,Sim
465,5,RJ,SEROPEDICA,25,0,5,56,0.0,0.0,0.06419393671876339,Simples,Sim
116,177,RJ,SAO JOAO DE MERITI,25,0,3,60,0.0,0.0,0.06017185214208984,Dupla,Sim
101,96,RN,NATAL,25,0,2,54,0.0,0.0,0.06641358809089637,Múltipla,Sim
40,115,RJ,DUQUE DE CAXIAS,25,0,1,57,0.0,0.0,0.06313883485297893,Múltipla,Sim
40,116,RJ,DUQUE DE CAXIAS,25,1,3,57,0.017543859649122806,0.003103664651408093,0.09290749178567684,Dupla,Sim
101,385,RJ,RIO DE JANEIRO,25,1,6,73,0.0136986301369863,0.0024222514664838588,0.07359737270963818,Múltipla,Não
116,170,RJ,RIO DE JANEIRO,25,0,6,62,0.0,0.0,0.058344072101372456,Dupla,Não
381,89,SP,GUARULHOS,25,0,2,46,0.0,0.0,0.07707356308558035,Dupla,Sim
116,215,SP,GUARULHOS,25,0,4,66,0.0,0.0,0.05500255701354127,Múltipla,Sim
324,517,BA,FEIRA DE SANTANA,25,1,3,60,0.016666666666666666,0.0029481597947862564,0.08855129727590058,Simples,Sim
101,196,SC,BIGUACU,25,0,9,61,0.0,0.0,0.0592438678981128,Múltipla,Sim
230,10,PB,CABEDELO,25,0,3,48,0.0,0.0,0.07410012966611745,Dupla,Sim
40,523,MG,CONTAGEM,25,0,2,61,0.0,0.0,0.0592438678981128,Dupla,Não
381,482,MG,BETIM,25,0,3,53,0.0,0.0,0.06758198857654184,Múltipla,Sim
116,248,RS,SAO LEOPOLDO,25,7,5,69,0.10144927536231885,0.05001663810845994,0.19491885754947985,Dupla,Sim
101,289,ES,CARIACICA,25,0,10,66,0.0,0.0,0.05500255701354127,Dupla,Sim
101,288,ES,CARIACICA,25,1,14,59,0.01694915254237288,0.0029982339183556375,0.08995725964142295,Dupla,Não
101,195,SC,BIGUACU,25,1,8,53,0.018867924528301886,0.0033384533882637665,0.09942912052501235,Múltipla,Sim
101,334,SC,TUBARAO,25,0,6,66,0.0,0.0,0.05500255701354127,Múltipla,Sim
324,621,BA,SALVADOR,25,0,3,62,0.0,0.0,0.058344072101372456,Múltipla,Sim
101,52,SP,UBATUBA,24,0,2,61,0.0,0.0,0.0592438678981128,Simples,Sim
101,144,ES,LINHARES,24,1,2,60,0.016666666666666666,0.0029481597947862564,0.08855129727590058,Simples,Não
101,138,SC,BALNEARIO CAMBORIU,24,2,4,59,0.03389830508474576,0.00934590909166131,0.11543570750110749,Dupla,Sim
280,29,SC,ARAQUARI,24,0,11,65,0.0,0.0,0.05580153132285686,Simples,Sim
376,182,PR,MARINGA,24,2,4,61,0.03278688524590164,0.009037890398362398,0.11189490419495612,Dupla,Sim
116,216,SP,GUARULHOS,24,0,2,62,0.0,0.0,0.058344072101372456,Múltipla,Sim
101,387,RJ,RIO DE JANEIRO,24,0,3,53,0.0,0.0,0.06758198857654184,Dupla,Não
101,312,RJ,SAO GONCALO,24,0,4,48,0.0,0.0,0.07410012966611745,Dupla,Sim
40,516,MG,RIBEIRAO DAS NEVES,24,0,3,66,0.0,0.0,0.05500255701354127,Dupla,Sim
101,131,SC,CAMBORIU,24,1,7,46,0.021739130434782608,0.0038478542580502872,0.11335294521511351,Múltipla,Não
381,494,MG,BETIM,24,2,5,61,0.03278688524590164,0.009037890398362398,0.11189490419495612,Múltipla,Sim
364,342,RO,JI-PARANA,24,0,6,64,0.0,0.0,0.05662405979280531,Múltipla,Sim
448,22,RS,PORTO ALEGRE,24,2,3,40,0.05,0.013820667386148358,0.16503877369140957,Simples,Não
101,41,SC,JOINVILLE,24,2,2,60,0.03333333333333333,0.00918931925619787,0.11363774274308597,Múltipla,Sim
101,191,SC,BIGUACU,24,1,10,55,0.01818181818181818,0.003216780454841077,0.09605776062162394,Dupla,Sim
20,10,DF,BRASILIA,24,0,9,64,0.0,0.0,0.05662405979280531,Dupla,Sim
101,333,RJ,RIO DE JANEIRO,24,0,4,41,0.0,0.0,0.08566757018443184,Múltipla,Sim
101,79,RN,EXTREMOZ,23,0,10,44,0.0,0.0,0.08029560375848063,Simples,Não
101,46,PE,IGARASSU,23,0,11,59,0.0,0.0,0.061129370526788365,Múltipla,Sim
116,174,RJ,SAO JOAO DE MERITI,23,0,2,58,0.0,0.0,0.062117855787202886,Múltipla,Sim
116,147,RJ,DUQUE DE CAXIAS,23,5,3,68,0.07352941176470588,0.03181484425111798,0.16085188395717748,Dupla,Sim
